"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","D320307","D320308","D3203082","D3203085","D3203086","D320309","D320310","D3203102","D3203103","D3203104","D3203105","D3203106","D3203107","D3203108","D320311","D320312","D320401","D320402","D320403","D320404","D320405","D320406","D320407","D320408","D320409"
"調査年 コード","調査年","地域 コード","地域","/項目","D320307_商工費（市町村財政）【千円】","D320308_土木費（市町村財政）【千円】","D3203082_道路橋りょう費（市町村財政）【千円】","D3203085_都市計画費（市町村財政）【千円】","D3203086_住宅費（市町村財政）【千円】","D320309_消防費（市町村財政）【千円】","D320310_教育費（市町村財政）【千円】","D3203102_小学校費（市町村財政）【千円】","D3203103_中学校費（市町村財政）【千円】","D3203104_高等学校費（市町村財政）【千円】","D3203105_特別支援学校費（市町村財政）【千円】","D3203106_幼稚園費（市町村財政）【千円】","D3203107_社会教育費（市町村財政）【千円】","D3203108_保健体育費（市町村財政）【千円】","D320311_災害復旧費（市町村財政）【千円】","D320312_公債費（市町村財政）（目的別歳出内訳）【千円】","D320401_人件費（市町村財政）【千円】","D320402_物件費（市町村財政）【千円】","D320403_維持補修費（市町村財政）【千円】","D320404_扶助費（市町村財政）【千円】","D320405_補助費等（市町村財政）【千円】","D320406_普通建設事業費（市町村財政）【千円】","D320407_災害復旧事業費（市町村財政）【千円】","D320408_失業対策事業費（市町村財政）【千円】","D320409_公債費（市町村財政）（性質別歳出内訳）【千円】"
"2021100000","2021年度","11110","埼玉県 さいたま市 岩槻区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","12100","千葉県 千葉市","","22,012,836","47,368,535","14,700,109","26,367,601","2,463,243","10,998,496","82,627,379","31,263,687","17,755,694","1,681,907","1,796,507","639,632","5,657,342","9,228,912","289,877","53,349,147","97,371,913","72,892,575","8,668,760","140,588,166","32,789,409","44,647,349","289,877","0","52,998,171"
"2021100000","2021年度","12101","千葉県 千葉市 中央区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","12102","千葉県 千葉市 花見川区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","12103","千葉県 千葉市 稲毛区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","12104","千葉県 千葉市 若葉区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","12105","千葉県 千葉市 緑区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","12106","千葉県 千葉市 美浜区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","13101","東京都 千代田区","","2,089,070","8,012,148","3,771,545","1,452,033","1,074,554","400,388","12,551,625","5,629,853","1,671,504","599,599","0","987,386","2,097,275","789,870","0","54,394","11,273,913","17,105,609","1,110,833","10,311,718","6,965,323","6,289,311","0","0","54,394"
"2021100000","2021年度","13102","東京都 中央区","","4,426,928","23,992,885","2,448,404","17,930,305","1,818,124","950,552","30,189,218","20,462,179","1,229,044","0","0","1,981,349","2,959,467","1,606,057","0","1,072,002","16,055,614","25,053,961","811,885","22,564,971","8,414,202","45,090,576","0","0","1,068,470"
"2021100000","2021年度","13103","東京都 港区","","8,055,714","17,122,719","3,383,083","11,248,875","1,293,027","4,188,707","34,116,828","12,332,848","4,010,616","0","0","918,829","6,321,012","2,403,149","0","156,828","20,199,784","50,054,708","1,076,380","34,066,123","14,368,385","37,258,685","0","0","156,828"
"2021100000","2021年度","13104","東京都 新宿区","","4,165,077","10,520,630","3,131,548","4,856,762","1,866,043","960,063","14,928,577","3,927,885","1,567,539","0","189,825","1,055,385","2,362,239","2,625,678","0","2,664,001","27,318,898","38,847,984","1,381,329","59,742,279","11,490,526","9,017,827","0","0","2,663,304"
"2021100000","2021年度","13105","東京都 文京区","","1,095,349","5,779,176","2,714,403","2,482,935","162,411","1,284,352","27,725,878","14,773,215","4,584,461","0","0","1,093,605","3,264,644","1,667,994","0","638,648","21,235,340","29,065,096","433,246","28,604,098","9,319,065","13,863,313","0","0","638,617"
"2021100000","2021年度","13106","東京都 台東区","","4,115,794","5,266,194","1,662,763","2,873,783","211,392","1,704,041","12,035,767","4,506,411","961,595","0","0","1,083,623","2,563,502","1,370,060","0","1,432,038","17,775,243","18,561,891","1,343,160","41,062,881","7,349,608","9,529,209","0","0","1,431,329"
"2021100000","2021年度","13107","東京都 墨田区","","2,582,297","9,000,544","2,508,543","5,300,714","442,183","508,954","13,767,941","3,808,356","1,575,155","0","0","288,920","3,409,857","2,553,555","0","2,983,080","18,706,756","25,448,128","885,212","47,843,423","8,947,584","10,684,514","0","0","2,981,943"
"2021100000","2021年度","13108","東京都 江東区","","2,368,934","8,756,246","3,871,405","3,250,985","276,315","1,443,023","35,956,328","11,830,164","7,155,881","0","0","2,292,787","3,572,639","5,244,771","0","2,189,511","26,921,172","46,611,415","1,833,180","76,476,157","19,804,072","19,293,279","0","0","2,189,485"
"2021100000","2021年度","13109","東京都 品川区","","3,490,711","14,718,376","2,552,341","7,811,115","702,593","2,376,461","25,546,056","10,692,349","4,775,588","0","0","785,682","3,030,092","3,266,342","0","1,194,342","25,137,911","39,757,911","1,203,725","52,924,870","13,831,594","26,725,061","0","0","1,194,342"
"2021100000","2021年度","13110","東京都 目黒区","","1,104,959","6,204,473","1,853,919","2,744,326","760,905","538,863","22,803,096","3,533,111","1,219,254","0","0","218,047","2,050,058","2,287,651","0","2,075,772","20,326,876","24,339,972","1,396,190","34,823,528","10,021,764","4,434,824","0","0","2,075,326"
