"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","C620101","C620105","C620106","C620107","C620108","C620109","C620110","C620111","C620114","C620115","C620116","C620117","C620118","C620119","C620120","C620121","C620122"
"調査年 コード","調査年","地域 コード","地域","/項目","C620101_純付加価値額（民営）（農林漁業）【百万円】","C620105_純付加価値額（民営）（鉱業、採石業、砂利採取業）【百万円】","C620106_純付加価値額（民営）（建設業）【百万円】","C620107_純付加価値額（民営）（製造業）【百万円】","C620108_純付加価値額（民営）（電気・ガス・熱供給・水道業）【百万円】","C620109_純付加価値額（民営）（情報通信業）【百万円】","C620110_純付加価値額（民営）（運輸業、郵便業）【百万円】","C620111_純付加価値額（民営）（卸売業、小売業）【百万円】","C620114_純付加価値額（民営）（金融業、保険業）【百万円】","C620115_純付加価値額（民営）（不動産業、物品賃貸業）【百万円】","C620116_純付加価値額（民営）（学術研究、専門・技術サービス業）【百万円】","C620117_純付加価値額（民営）（宿泊業、飲食サービス業）【百万円】","C620118_純付加価値額（民営）（生活関連サービス業、娯楽業）【百万円】","C620119_純付加価値額（民営）（教育、学習支援業）【百万円】","C620120_純付加価値額（民営）（医療、福祉）【百万円】","C620121_純付加価値額（民営）（複合サービス事業）【百万円】","C620122_純付加価値額（民営）（サービス業（他に分類されないもの））【百万円】"
"2020100000","2020年度","11110","埼玉県 さいたま市 岩槻区","","194","0","13,990","69,312","0","X","37,556","31,504","3,457","5,352","4,314","4,082","4,272","6,010","21,612","X","11,566"
"2020100000","2020年度","12100","千葉県 千葉市","","1,490","0","229,473","161,553","26,402","116,088","108,355","435,723","160,456","97,756","164,809","43,096","42,089","67,785","226,892","12,676","175,655"
"2020100000","2020年度","12101","千葉県 千葉市 中央区","","111","0","88,322","32,524","X","25,647","37,426","130,692","81,102","36,011","42,291","16,133","12,766","25,832","84,547","X","80,426"
"2020100000","2020年度","12102","千葉県 千葉市 花見川区","","374","0","21,322","26,148","0","1,467","15,497","40,669","3,388","5,473","3,617","4,877","2,746","2,236","27,463","786","17,628"
"2020100000","2020年度","12103","千葉県 千葉市 稲毛区","","135","0","20,086","15,287","X","-39","14,296","50,810","11,859","8,233","16,058","4,345","4,679","18,723","27,391","X","10,490"
"2020100000","2020年度","12104","千葉県 千葉市 若葉区","","434","0","29,016","22,937","2,379","594","6,805","39,947","3,447","5,690","3,338","4,734","4,217","3,712","31,558","904","13,349"
"2020100000","2020年度","12105","千葉県 千葉市 緑区","","436","0","16,659","13,089","1,370","606","5,926","24,389","4,243","3,628","7,665","3,701","4,693","2,219","32,701","2,093","4,639"
"2020100000","2020年度","12106","千葉県 千葉市 美浜区","","0","0","54,068","51,568","7,770","87,813","28,404","149,216","56,416","38,721","91,840","9,305","12,987","15,063","23,234","503","49,124"
"2020100000","2020年度","13101","東京都 千代田区","","219","X","324,217","483,664","125,276","2,754,358","9,008","1,725,029","2,373,327","1,070,157","3,330,456","72,844","32,914","158,420","100,280","X","736,576"
"2020100000","2020年度","13102","東京都 中央区","","895","X","437,887","-395","229,453","1,023,583","137,379","1,889,816","2,015,042","745,627","1,082,890","85,153","37,969","21,288","298,946","X","527,246"
"2020100000","2020年度","13103","東京都 港区","","640","166,896","795,966","622,612","141,125","3,652,850","111,087","2,322,533","1,102,164","830,291","3,515,161","79,928","173,434","91,054","39,960,698","11,350","1,183,011"
"2020100000","2020年度","13104","東京都 新宿区","","243","X","451,445","166,437","X","946,022","40,087","625,011","606,138","532,212","804,798","69,123","38,049","171,326","235,509","3,021","479,557"
"2020100000","2020年度","13105","東京都 文京区","","345","X","X","99,766","1,140","259,375","9,379","247,487","238,097","32,351","76,996","25,436","10,229","127,076","145,810","2,897","172,594"
"2020100000","2020年度","13106","東京都 台東区","","102","X","98,226","114,101","X","100,551","23,880","385,466","68,385","63,187","82,615","35,473","26,120","15,775","70,886","3,049","92,769"
"2020100000","2020年度","13107","東京都 墨田区","","165","0","77,811","140,652","X","48,329","36,494","241,676","100,935","35,628","182,390","26,474","15,228","11,940","64,546","X","50,036"
"2020100000","2020年度","13108","東京都 江東区","","830","0","250,188","165,147","24,067","690,837","227,438","522,339","236,530","97,367","267,669","31,384","16,021","28,621","125,521","1,946","209,116"
"2020100000","2020年度","13109","東京都 品川区","","70","X","129,204","191,124","13,702","724,108","41,776","816,127","40,209","116,507","478,568","35,317","44,715","37,886","249,859","X","145,579"
"2020100000","2020年度","13110","東京都 目黒区","","157","X","35,466","24,213","1,625","275,568","14,360","155,282","23,278","39,997","51,879","20,102","21,953","39,977","108,685","X","40,278"
"2020100000","2020年度","13111","東京都 大田区","","1,490","0","119,798","161,028","7,626","159,536","-408,756","418,828","57,596","74,473","58,154","26,947","34,454","26,028","175,479","5,953","127,797"
