"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","A1101","A161001","A6108","B1102","B1103","B1104","B1105","B1106","B1107","B1201","B120103","#A01202","#A03504","#A03505","#A03506","#B01301"
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","A161001_未婚者割合（15歳以上人口）【％】","A6108_昼夜間人口比率【％】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】","B1104_主要湖沼面積【ｈａ】","B1105_林野面積【ｈａ】","B1106_森林面積【ｈａ】","B1107_森林以外の草生地面積【ｈａ】","B1201_評価総地積（課税対象土地）【ｍ2】","B120103_評価総地積（宅地）【ｍ2】","#A01202_可住地面積１km2当たり人口密度【人】","#A03504_15歳未満人口割合【％】","#A03505_15～64歳人口割合【％】","#A03506_65歳以上人口割合【％】","#B01301_可住地面積割合【％】"
"2023100000","2023年度","13106","東京都 台東区","","***","***","***","1,011","1,011","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13107","東京都 墨田区","","***","***","***","1,377","1,377","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13108","東京都 江東区","","***","***","***","4,299","4,299","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13109","東京都 品川区","","***","***","***","2,285","2,285","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13110","東京都 目黒区","","***","***","***","1,467","1,467","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13111","東京都 大田区","","***","***","***","6,186","6,186","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13112","東京都 世田谷区","","***","***","***","5,805","5,805","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13113","東京都 渋谷区","","***","***","***","1,511","1,511","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13114","東京都 中野区","","***","***","***","1,559","1,559","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13115","東京都 杉並区","","***","***","***","3,406","3,406","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13116","東京都 豊島区","","***","***","***","1,301","1,301","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13117","東京都 北区","","***","***","***","2,061","2,061","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13118","東京都 荒川区","","***","***","***","1,016","1,016","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13119","東京都 板橋区","","***","***","***","3,222","3,222","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13120","東京都 練馬区","","***","***","***","4,808","4,808","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13121","東京都 足立区","","***","***","***","5,325","5,325","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13122","東京都 葛飾区","","***","***","***","3,480","3,480","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","13123","東京都 江戸川区","","***","***","***","4,990","4,990","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","14100","神奈川県 横浜市","","***","***","***","43,801","40,139","0","***","***","***","***","***","***","***","***","***","91.6"
"2023100000","2023年度","14101","神奈川県 横浜市 鶴見区","","***","***","***","3,322","3,272","0","***","***","***","***","***","***","***","***","***","98.5"
"2023100000","2023年度","14102","神奈川県 横浜市 神奈川区","","***","***","***","2,373","2,273","0","***","***","***","***","***","***","***","***","***","95.8"
"2023100000","2023年度","14103","神奈川県 横浜市 西区","","***","***","***","703","697","0","***","***","***","***","***","***","***","***","***","99.1"
"2023100000","2023年度","14104","神奈川県 横浜市 中区","","***","***","***","2,174","2,121","0","***","***","***","***","***","***","***","***","***","97.6"
"2023100000","2023年度","14105","神奈川県 横浜市 南区","","***","***","***","1,265","1,195","0","***","***","***","***","***","***","***","***","***","94.5"
"2023100000","2023年度","14106","神奈川県 横浜市 保土ケ谷区","","***","***","***","2,193","1,986","0","***","***","***","***","***","***","***","***","***","90.6"
"2023100000","2023年度","14107","神奈川県 横浜市 磯子区","","***","***","***","1,905","1,691","0","***","***","***","***","***","***","***","***","***","88.8"
"2023100000","2023年度","14108","神奈川県 横浜市 金沢区","","***","***","***","3,096","2,731","0","***","***","***","***","***","***","***","***","***","88.2"
"2023100000","2023年度","14109","神奈川県 横浜市 港北区","","***","***","***","3,140","2,951","0","***","***","***","***","***","***","***","***","***","94.0"
"2023100000","2023年度","14110","神奈川県 横浜市 戸塚区","","***","***","***","3,579","3,138","0","***","***","***","***","***","***","***","***","***","87.7"
"2023100000","2023年度","14111","神奈川県 横浜市 港南区","","***","***","***","1,990","1,857","0","***","***","***","***","***","***","***","***","***","93.3"
"2023100000","2023年度","14112","神奈川県 横浜市 旭区","","***","***","***","3,273","2,904","0","***","***","***","***","***","***","***","***","***","88.7"
"2023100000","2023年度","14113","神奈川県 横浜市 緑区","","***","***","***","2,551","2,135","0","***","***","***","***","***","***","***","***","***","83.7"
"2023100000","2023年度","14114","神奈川県 横浜市 瀬谷区","","***","***","***","1,717","1,586","0","***","***","***","***","***","***","***","***","***","92.4"
