投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
1999-04-11,1999-04-04,69.27%,,1/2,"48,647",0,0,
2003-04-27,2003-04-20,72.56%,69.27%,1/2,"47,912",0,0,-735.0
2007-04-22,2007-04-15,61.57%,72.56%,1/3,"47,642",0,0,-270.0
2011-04-24,2011-04-17,60%,61.57%,1/2,"47,122",0,0,-520.0
2015-04-26,2015-04-19,60%,60%,1/1,,,,
2019-04-21,2019-04-14,52.31%,,1/2,"47,428",0,0,
2023-04-23,2023-04-16,60%,52.31%,1/2,"47,122","22,339","24,783",-306.0
