投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2006-08-27,2006-08-20,42.27%,,1/3,"44,399",0,0,
2010-08-29,2010-08-22,47.67%,42.27%,1/4,"44,567",0,0,168.0
2013-01-20,2013-01-13,43.39%,47.67%,1/3,"44,648",0,0,81.0
2017-01-15,2017-01-08,42.18%,43.39%,1/2,"45,493",0,0,845.0
2020-12-27,2020-12-20,44.45%,42.18%,1/2,,,,
2024-12-22,2024-12-15,42.54%,44.45%,1/2,"44,901","21,608","23,293",
