投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
1999-04-25,1999-04-18,49.97%,,36/42,"308,731",0,0,
2003-04-27,2003-04-20,45.76%,49.97%,36/49,"315,031",0,0,"+6,300"
2011-04-24,2011-04-17,45.53%,46.93%,34/46,"324,041",0,0,"+3,487"
2015-04-26,2015-04-19,45.51%,45.53%,32/46,"323,568",0,0,-473
2023-04-23,2023-04-16,43.71%,44.72%,32/46,"327,796","154,843","172,953","-2,947"
