投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2009-08-30,2009-08-23,66.67%,,22/24,"66,310",0,0,
2013-09-15,2013-09-08,42.61%,66.67%,21/29,"67,108",0,0,798
2017-09-17,2017-09-10,43.77%,42.61%,19/27,"69,605",0,0,"+2,497"
2021-09-19,2021-09-12,43.9%,43.77%,19/24,"71,093","34,896","36,197","+1,488"
2025-09-21,2025-09-14,44.13%,43.9%,19/28,"70,832","34,612","36,220",-261
