投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2007-04-22,2007-04-15,57.16%,,22/26,"69,365",0,0,
2011-04-24,2011-04-17,53.07%,57.16%,20/24,"69,787",0,0,422
2015-04-26,2015-04-19,49.92%,53.07%,18/23,,,,
2019-04-21,2019-04-14,46.29%,49.92%,18/19,"70,398",0,0,
2023-04-23,2023-04-16,42.5%,46.29%,17/19,"68,332","32,466","35,866","-2,066"
