投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2001-02-11,2001-02-04,45.72%,,1/2,"60,267",0,0,
2005-02-13,2005-02-06,54.66%,45.72%,1/3,"60,075",0,0,-192
2009-02-08,2009-02-01,43.54%,54.66%,1/2,"59,106",0,0,-969
2013-02-10,2013-02-03,45.31%,43.54%,1/3,,,,
2017-02-12,2017-02-05,43.38%,45.31%,1/4,"58,593",0,0,
2021-02-14,2021-02-07,43.38%,43.38%,1/1,"57,740","27,411","30,329",-853
2025-02-09,2025-02-02,,,1/1,"56,069","26,456","29,613","-1,671"
