投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2007-04-22,2007-04-15,45.56%,,22/26,"104,848",0,0,
2011-04-24,2011-04-17,44.63%,45.56%,22/27,"102,516",0,0,"-2,332"
2015-04-26,2015-04-19,41.95%,44.63%,21/27,"102,669",0,0,153
2019-04-21,2019-04-14,40.77%,41.95%,20/24,"102,071",0,0,-598
2023-04-23,2023-04-16,37.34%,40.77%,20/24,"99,041","48,291","50,750","-3,030"
