投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2007-04-22,2007-04-15,50.7%,,20/23,"95,506",0,0,
2011-04-24,2011-04-17,49.2%,50.7%,19/21,"94,335",0,0,"-1,171"
2015-04-26,2015-04-19,46.56%,49.2%,19/24,,,,
2019-04-21,2019-04-14,46.34%,46.56%,18/19,"93,476",0,0,
2023-04-23,2023-04-16,44.2%,46.34%,18/25,"90,316","41,822","48,494","-3,160"
