投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
1998-12-20,1998-12-15,71.2%,,1/2,"13,105",0,0,
2002-12-01,2002-11-26,71.2%,71.2%,1/1,,,,
2004-10-24,2004-10-19,,,1/1,,,,
2008-09-28,2008-09-23,,,1/1,"14,162",0,0,
2012-10-21,2012-10-16,42.51%,,1/2,"13,790",0,0,-372.0
2016-10-16,2016-10-11,42.51%,42.51%,1/1,,,,
2020-10-18,2020-10-13,44.23%,,1/2,,,,
2024-10-20,2024-10-15,44.93%,44.23%,1/3,"13,476","6,425","7,051",
2025-05-18,2025-05-13,50.64%,44.93%,1/3,"13,289","6,341","6,948",-187.0
