投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2008-10-26,2008-10-19,45.07%,,1/2,"46,438",0,0,
2012-10-28,2012-10-21,41.81%,45.07%,1/2,"46,278",0,0,-160.0
2016-10-30,2016-10-23,51.04%,41.81%,1/3,"46,881",0,0,603.0
2020-11-01,2020-10-25,34.04%,51.04%,1/2,,,,
2024-10-27,2024-10-20,55.97%,34.04%,1/4,"43,163","20,280","22,883",
