投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2009-08-30,2009-08-23,70.81%,,20/23,"94,573",0,0,
2013-09-08,2013-09-01,39.02%,70.81%,18/21,"92,791",0,0,"-1,782"
2017-09-10,2017-09-03,47.13%,39.02%,18/20,"93,917",0,0,"+1,126"
2021-09-12,2021-09-05,46.21%,47.13%,18/20,"92,235","43,263","48,972","-1,682"
2025-09-07,2025-08-31,43.21%,46.21%,18/22,"89,952","42,129","47,823","-2,283"
