投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2008-08-24,2008-08-17,50.73%,,25/32,"100,247",0,0,
2012-08-12,2012-08-05,41.69%,50.73%,23/33,"103,331",0,0,"+3,084"
2016-08-21,2016-08-14,46.3%,41.69%,23/29,"108,268",0,0,"+4,937"
2020-08-23,2020-08-16,49.35%,46.3%,23/28,"109,923",0,0,"+1,655"
2024-08-25,2024-08-18,49.98%,49.35%,23/29,"110,678","51,966","58,712",755
