投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2008-07-13,2008-07-06,38.08%,,1/2,"94,581",0,0,
2012-07-01,2012-06-24,43.25%,38.08%,1/3,"94,195",0,0,-386.0
2016-07-10,2016-07-03,54.71%,43.25%,1/2,"94,139",0,0,-56.0
2020-07-12,2020-07-05,50.27%,54.71%,1/5,,,,
2024-07-07,2024-06-30,39.95%,50.27%,1/2,"90,652","42,458","48,194",
