投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2007-07-29,2007-07-24,59.83%,,1/3,"34,865",0,0,
2008-01-27,2008-01-22,57.73%,59.83%,1/3,"35,040",0,0,175.0
2012-01-22,2012-01-17,57.73%,57.73%,1/1,"35,519",0,0,479.0
2016-01-24,2016-01-19,48.42%,,1/5,"34,969",0,0,-550.0
2020-01-19,2020-01-14,33.12%,48.42%,1/2,,,,
2024-01-21,2024-01-16,42.41%,33.12%,1/3,"35,401","16,806","18,595",
