投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2007-04-22,2007-04-15,,,1/1,"82,722",0,0,
2011-12-25,2011-12-18,36.73%,51.62%,1/3,"82,475",0,0,-72.0
2015-12-06,2015-11-29,44.87%,36.73%,1/3,,,,
2019-04-21,2019-04-14,55.52%,44.87%,1/2,,,,
2021-08-29,2021-08-22,51.66%,55.52%,1/4,"85,128","40,161","44,967",
2025-08-10,2025-08-03,51.66%,51.66%,1/1,"85,807","40,266","45,541",679.0
