投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2009-05-31,2009-05-24,41.98%,,1/2,"100,505",0,0,
2013-05-19,2013-05-12,34.55%,41.98%,1/2,,,,
2017-05-28,2017-05-21,37.35%,34.55%,1/2,"100,810",0,0,
2021-05-23,2021-05-16,37.35%,37.35%,1/1,"100,840","47,929","52,911",30
2025-05-25,2025-05-18,34.06%,,1/2,"97,164","45,816","51,348","-3,676"
