投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2006-09-03,2006-08-27,44.21%,,1/2,"61,692",0,0,
2010-09-05,2010-08-29,41.13%,44.21%,1/2,"61,806",0,0,114.0
2014-09-07,2014-08-31,45.6%,41.13%,1/2,,,,
2019-09-08,2019-09-01,48.85%,55.71%,15/19,,,,
2022-09-04,2022-08-28,49.36%,46.99%,1/3,"64,247","30,519","33,728",
