投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2003-04-27,2003-04-20,41.55%,,36/47,"270,763",0,0,
2007-04-22,2007-04-15,45.88%,41.55%,36/42,"275,286",0,0,"+4,523"
2011-04-24,2011-04-17,49.71%,45.88%,36/47,"275,526",0,0,240
2015-04-26,2015-04-19,49.09%,49.71%,36/50,,,,
2019-04-21,2019-04-14,48.21%,49.09%,36/44,,,,
2023-04-23,2023-04-16,48.65%,48.21%,36/45,"306,319","143,584","162,735",
