投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2000-10-22,2000-10-15,61.23%,,23/27,"49,048",0,0,
2004-10-24,2004-10-17,55.51%,61.23%,20/25,"50,641",0,0,"+1,593"
2008-10-05,2008-09-28,54.26%,55.51%,20/23,"50,672",0,0,31
2012-10-21,2012-10-14,53.09%,54.26%,18/23,"50,695",0,0,23
2016-10-23,2016-10-16,49.57%,53.09%,16/20,"51,349",0,0,654
2020-10-25,2020-10-18,50.02%,49.57%,15/20,,,,
2024-09-29,2024-09-22,42.85%,50.02%,15/17,"48,556","23,092","25,464",
