投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2005-04-17,2005-04-12,,,1/2,,,,
2009-04-12,2009-04-07,63.92%,,1/2,"23,451",0,0,
2013-04-14,2013-04-09,57.5%,63.92%,1/2,,,,
2021-04-18,2021-04-13,59.53%,60.69%,14/16,"25,871","12,084","13,787",988.0
2021-04-18,2021-04-13,59.51%,59.38%,1/3,"25,871","12,084","13,787",988.0
2025-04-13,2025-04-08,53.85%,59.51%,1/3,"26,202","12,164","14,038",331.0
