投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2008-01-27,2008-01-20,,,1/1,"81,282",0,0,
2011-04-24,2011-04-17,40.1%,,1/3,"79,997",0,0,"-1,285"
2015-04-26,2015-04-19,33.67%,40.1%,1/2,"79,894",0,0,-103
2019-04-21,2019-04-14,32.78%,33.67%,1/2,"83,725",0,0,"+3,831"
2023-04-23,2023-04-16,32.78%,32.78%,1/1,"82,794","39,263","43,531",-931
