投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2006-09-03,2006-08-27,53.33%,,20/23,"101,726",0,0,
2010-09-05,2010-08-29,53.33%,53.33%,19/22,"100,448",0,0,"-1,278"
2014-08-24,2014-08-17,43.98%,,18/21,,,,
2018-09-02,2018-08-26,42.7%,43.98%,18/23,,,,
2022-08-28,2022-08-21,40.71%,42.7%,18/21,"98,824","46,856","51,968",
