投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2005-11-27,2005-11-20,52.66%,,1/4,"158,298",0,0,
2009-11-29,2009-11-22,45.27%,52.66%,1/2,"158,429",0,0,131
2013-11-24,2013-11-17,34.69%,45.27%,1/2,"158,627",0,0,198
2017-11-26,2017-11-19,33.61%,34.69%,1/3,"162,498",0,0,"+3,871"
2018-02-04,2018-01-28,31.43%,33.61%,1/3,"161,579",0,0,-919
2022-01-30,2022-01-23,28.27%,31.43%,1/3,"157,832","74,422","83,410","-3,747"
2025-04-06,2025-03-30,40.03%,28.27%,1/4,"153,766","72,220","81,546","-4,066"
