投票日,告示日,投票率,前回投票率,定数/候補者数,有権者数,男性,女性,前回より
2000-04-09,2000-04-04,,,1/1,1,0,0,
2004-04-04,2004-03-30,47.48%,,1/2,"10,889",0,0,"+10,888"
2008-04-06,2008-04-01,52.82%,47.48%,1/3,"11,063",0,0,174
2012-04-08,2012-04-03,35.81%,52.82%,1/3,"11,088",0,0,25
2016-04-10,2016-04-05,35.81%,35.81%,1/1,,,,
2020-04-12,2020-04-07,50.68%,,1/3,,,,
2024-04-07,2024-04-02,47.06%,50.68%,1/2,"10,720","5,169","5,551",
