0,1,2,3,4,5
投票日,2011年04月24日,投票率,51.63%  ( ↑ ),定数/候補者数,23 / 28
告示日,2011年04月17日,前回投票率,49.46%,49.46%,49.46%
有権者数,"82,547人  前回より +1,829人  男性  0人  女性  0人","82,547人  前回より +1,829人  男性  0人  女性  0人","82,547人  前回より +1,829人  男性  0人  女性  0人","82,547人  前回より +1,829人  男性  0人  女性  0人","82,547人  前回より +1,829人  男性  0人  女性  0人"
事由・ポイント,任期満了,任期満了,任期満了,任期満了,任期満了
