0,1,2,3,4,5
投票日,2016年04月10日,投票率,34.12%  ( ↓ ),定数/候補者数,1 / 3
告示日,2016年04月03日,前回投票率,36.45%,36.45%,36.45%
有権者数,"217,951人  前回より +2,714人  男性  0人  女性  0人","217,951人  前回より +2,714人  男性  0人  女性  0人","217,951人  前回より +2,714人  男性  0人  女性  0人","217,951人  前回より +2,714人  男性  0人  女性  0人","217,951人  前回より +2,714人  男性  0人  女性  0人"
事由・ポイント,任期満了,任期満了,任期満了,任期満了,任期満了
