0,1,2,3,4,5
投票日,2017年02月12日,投票率,43.38%  ( ↓ ),定数/候補者数,1 / 4
告示日,2017年02月05日,前回投票率,45.31%,45.31%,45.31%
有権者数,"58,593人  男性  0人  女性  0人","58,593人  男性  0人  女性  0人","58,593人  男性  0人  女性  0人","58,593人  男性  0人  女性  0人","58,593人  男性  0人  女性  0人"
事由・ポイント,任期満了,任期満了,任期満了,任期満了,任期満了
