0,1,2,3,4,5
投票日,2016年04月17日,投票率,43.62%  ( ↓ ),定数/候補者数,1 / 2
告示日,2016年04月10日,前回投票率,46.37%,46.37%,46.37%
有権者数,"97,112人  前回より -1,158人  男性  0人  女性  0人","97,112人  前回より -1,158人  男性  0人  女性  0人","97,112人  前回より -1,158人  男性  0人  女性  0人","97,112人  前回より -1,158人  男性  0人  女性  0人","97,112人  前回より -1,158人  男性  0人  女性  0人"
事由・ポイント,任期満了,任期満了,任期満了,任期満了,任期満了
