0,1,2,3,4,5
投票日,2023年04月23日,投票率,無投票,定数/候補者数,1 / 1
告示日,2023年04月16日,前回投票率,32.78%,32.78%,32.78%
有権者数,"82,794人  前回より -931人  男性  39,263人  女性  43,531人","82,794人  前回より -931人  男性  39,263人  女性  43,531人","82,794人  前回より -931人  男性  39,263人  女性  43,531人","82,794人  前回より -931人  男性  39,263人  女性  43,531人","82,794人  前回より -931人  男性  39,263人  女性  43,531人"
事由・ポイント,任期満了  /有権者数については選挙人名簿登録者数が表示されています,任期満了  /有権者数については選挙人名簿登録者数が表示されています,任期満了  /有権者数については選挙人名簿登録者数が表示されています,任期満了  /有権者数については選挙人名簿登録者数が表示されています,任期満了  /有権者数については選挙人名簿登録者数が表示されています
