0,1,2,3,4,5
投票日,2021年05月23日,投票率,無投票,定数/候補者数,1 / 1
告示日,2021年05月16日,前回投票率,37.35%,37.35%,37.35%
有権者数,"100,840人  前回より +30人  男性  47,929人  女性  52,911人","100,840人  前回より +30人  男性  47,929人  女性  52,911人","100,840人  前回より +30人  男性  47,929人  女性  52,911人","100,840人  前回より +30人  男性  47,929人  女性  52,911人","100,840人  前回より +30人  男性  47,929人  女性  52,911人"
事由・ポイント,任期満了  /有権者数については選挙人名簿登録者数が表示されています,任期満了  /有権者数については選挙人名簿登録者数が表示されています,任期満了  /有権者数については選挙人名簿登録者数が表示されています,任期満了  /有権者数については選挙人名簿登録者数が表示されています,任期満了  /有権者数については選挙人名簿登録者数が表示されています
