0,1,2,3,4,5
投票日,2021年02月14日,投票率,無投票,定数/候補者数,1 / 1
告示日,2021年02月07日,前回投票率,43.38%,43.38%,43.38%
有権者数,"57,740人  前回より -853人  男性  27,411人  女性  30,329人","57,740人  前回より -853人  男性  27,411人  女性  30,329人","57,740人  前回より -853人  男性  27,411人  女性  30,329人","57,740人  前回より -853人  男性  27,411人  女性  30,329人","57,740人  前回より -853人  男性  27,411人  女性  30,329人"
事由・ポイント,任期満了  /有権者数については選挙人名簿登録者数が表示されています,任期満了  /有権者数については選挙人名簿登録者数が表示されています,任期満了  /有権者数については選挙人名簿登録者数が表示されています,任期満了  /有権者数については選挙人名簿登録者数が表示されています,任期満了  /有権者数については選挙人名簿登録者数が表示されています
