0,1,2,3,4,5
投票日,2016年09月25日,投票率,57.23%  ( ↓ ),定数/候補者数,12 / 15
告示日,2016年09月20日,前回投票率,64.85%,64.85%,64.85%
有権者数,"13,236人  前回より +79人  男性  0人  女性  0人","13,236人  前回より +79人  男性  0人  女性  0人","13,236人  前回より +79人  男性  0人  女性  0人","13,236人  前回より +79人  男性  0人  女性  0人","13,236人  前回より +79人  男性  0人  女性  0人"
事由・ポイント,任期満了,任期満了,任期満了,任期満了,任期満了
